Pos,Target,Cq,SQ,Status
A1,gblockssmall,27.26096135,100,
A2,gblockssmall,26.87978816,100,
A3,gblockssmall,27.21331143,100,
A4,gblockssmall,26.68592257,100,
A5,gblockssmall,27.46812544,100,
A6,gblockssmall,26.91499638,100,
A7,gblockssmall,27.05732749,100,
A8,gblockssmall,26.77136667,100,
A9,gblockssmall,26.95971088,100,
A10,gblockssmall,27.12150731,100,
A11,gblockssmall,26.9629323,100,
A12,gblockssmall,26.91434155,100,
B1,gblockssmall,30.62762503,10,
B2,gblockssmall,30.54664539,10,
B3,gblockssmall,30.73407352,10,
B4,gblockssmall,30.45418661,10,
B5,gblockssmall,30.71721002,10,
B6,gblockssmall,30.18484132,10,
B7,gblockssmall,30.61012563,10,
B8,gblockssmall,30.69989605,10,
B9,gblockssmall,30.32801445,10,
B10,gblockssmall,30.6470322,10,
B11,gblockssmall,30.44063694,10,
B12,gblockssmall,30.19087644,10,
C1,gblockssmall,33.62564364,2,
C2,gblockssmall,31.94643997,2,
C3,gblockssmall,33.38493111,2,
C4,gblockssmall,32.72985996,2,
C5,gblockssmall,33.96054221,2,
C6,gblockssmall,32.44407569,2,
C7,gblockssmall,32.07757523,2,
C8,gblockssmall,33.29594526,2,
C9,gblockssmall,33.67106394,2,
C10,gblockssmall,33.15810578,2,
C11,gblockssmall,32.80271509,2,
C12,gblockssmall,33.3832613,2,
D1,gblockssmall,34.16242771,1,
D2,gblockssmall,33.13519089,1,
D3,gblockssmall,33.93585453,1,
D4,gblockssmall,33.83747023,1,
D5,gblockssmall,34.41771876,1,
D6,gblockssmall,34.63650637,1,
D7,gblockssmall,33.38240318,1,
D8,gblockssmall,35.35039405,1,
D9,gblockssmall,33.94668439,1,
D10,gblockssmall,35.09936615,1,
D11,gblockssmall,35.82133794,1,
D12,gblockssmall,33.63012968,1,
E1,gblockssmall,,0.5,
E2,gblockssmall,33.92572696,0.5,
E3,gblockssmall,34.81324817,0.5,
E4,gblockssmall,35.27650369,0.5,
E5,gblockssmall,36.17316382,0.5,
E6,gblockssmall,34.98258336,0.5,
E7,gblockssmall,34.82429201,0.5,
E8,gblockssmall,36.67650016,0.5,
E9,gblockssmall,36.01925401,0.5,
E10,gblockssmall,37.4780745,0.5,
E11,gblockssmall,34.43533989,0.5,
E12,gblockssmall,38.07450759,0.5,
F1,gblockssmall,36.83257004,0.25,
F2,gblockssmall,35.88353458,0.25,
F3,gblockssmall,37.2411523,0.25,
F4,gblockssmall,37.03049146,0.25,
F5,gblockssmall,35.96515394,0.25,
F6,gblockssmall,36.95198078,0.25,
F7,gblockssmall,,0.25,
F8,gblockssmall,35.15886095,0.25,
F9,gblockssmall,35.00250165,0.25,
F10,gblockssmall,38.50810229,0.25,
F11,gblockssmall,35.58531615,0.25,
F12,gblockssmall,37.94482091,0.25,
G1,gblockssmall,36.97878669,0.125,
G2,gblockssmall,37.23812805,0.125,
G3,gblockssmall,,0.125,
G4,gblockssmall,,0.125,
G5,gblockssmall,,0.125,
G6,gblockssmall,35.97822898,0.125,
