"Assay","LoD","Estimate","Lower","Upper","Std..Error"
"gblockssmall","1rep.LOD",0.349762971551117,0.138884410186368,0.560641532915865,0.106208044145024
"gblockssmall","2rep.LOD",0.177912264072529,0.124622836910008,0.231201691235049,0.0268389816200925
"gblockssmall","3rep.LOD",0.134374705089103,0.105604832679222,0.163144577498984,0.0144898175479785
"gblockssmall","4rep.LOD",0.113232194062096,0.0908170398308093,0.135647348293383,0.0112892921627832
"gblockssmall","5rep.LOD",0.10024220978509,0.079278519760964,0.121205899809215,0.0105582687074284
"gblockssmall","8rep.LOD",0.0792319033396277,0.0576275805794516,0.100836226099804,0.0108809205193094
"gblockslarge","1rep.LOD",0.175970339735834,0.116792479650092,0.235148199821576,0.029796217606789
"gblockslarge","2rep.LOD",0.116830216183469,0.0946150020829096,0.139045430284028,0.0111854222603285
"gblockslarge","3rep.LOD",0.0985594467835565,0.0837091466196725,0.113409746947441,0.00747716755165048
"gblockslarge","4rep.LOD",0.0888480988260016,0.0763388355562824,0.101357362095721,0.00629844894602684
"gblockslarge","5rep.LOD",0.0825243804231843,0.070786084227319,0.0942626766190496,0.0059102648740287
"gblockslarge","8rep.LOD",0.0715624606905958,0.0598457889317704,0.0832791324494213,0.00589937690966618
