Sample,Well,Omit,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues,Plate,Mean.Cq,Max.diff.Cq,Krill.positive,Comment,Exclude,Sample.number,Bottle.number,Sampling.time.UTC,Date,Latitude,Longitude,Sampling.method,Sampling.type,Sampling.depth,CTD.depth,seawater.temperature,sea.ice,Filter.halved,Filtering.time.UTC,Storage.boxes,Collectors,Comments,Time.between.filtering.and.sampling,Time.between.decimal,Percent.of.5.Litres,CTD.number,CTD.category
047A,B4,TRUE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,9,,NA,2,35.22347367,0.670288577,Yes,,,47,3,13:41,13/02/2021,-65.525,55.05,CTD,CTD 02,5,top,-1.5,Ice edge (2 nm),AB,17:35,1A+1B,Liv/Liss/Christine/Mads,"Lat entered as -65.31.47, Lon entered as 55.03",3:54,3.9,1,2,2 top
047A,B16,TRUE,F3R3,Unknown,FAM-NFQ-MGB,35.69373507,0.905245654,2.453883379,Amp,FALSE,3,30,,NA,2,35.69373507,0,No,,,47,3,13:41,13/02/2021,-65.525,55.05,CTD,CTD 02,5,top,-1.5,Ice edge (2 nm),AB,17:35,1A+1B,Liv/Liss/Christine/Mads,"Lat entered as -65.31.47, Lon entered as 55.03",3:54,3.9,1,2,2 top
048A,N7,TRUE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,17,,NA,3,NA,0,No,,,48,5,12.55,13/02/2021,-65.525,55.05,CTD,CTD 02,960,bottom,-1.5,Ice edge (2 nm),AB,17:35,1A+1B,Liv/Liss/Christine/Mads,"Lat entered as -65.31.47, Lon entered as 55.02.99",4:23,4.38,1,2,2 bottom
048A,N19,TRUE,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,39,,NA,3,NA,0,No,,,48,5,12.55,13/02/2021,-65.525,55.05,CTD,CTD 02,960,bottom,-1.5,Ice edge (2 nm),AB,17:35,1A+1B,Liv/Liss/Christine/Mads,"Lat entered as -65.31.47, Lon entered as 55.02.99",4:23,4.38,1,2,2 bottom
049A,C22,TRUE,F3R3,Unknown,FAM-NFQ-MGB,35.67834649,0.92798544,2.507518982,Amp,FALSE,3,25,,NA,1,36.0758372,0.794981408,Yes,,,49,1,0:00,13/02/2021,-65.006,55.001,CTD,CTD 03,5,top,-0.03,No,AB,8:09,1A+1B,Liv/Christine/night shift,,8:09,8.15,1,3,3 top
049A,C10,FALSE,F3R1,Unknown,FAM-NFQ-MGB,33.74352175,0.95488855,2.620990948,Amp,FALSE,3,26,,NA,1,33.67274245,0.759752549,Yes,,,49,1,0:00,13/02/2021,-65.006,55.001,CTD,CTD 03,5,top,-0.03,No,AB,8:09,1A+1B,Liv/Christine/night shift,,8:09,8.15,1,3,3 top
050A,J22,TRUE,F3R3,Unknown,FAM-NFQ-MGB,18.89857181,0.884421861,2.1970589,Inconclusive,FALSE,3,14,,NA,1,NA,0,No,,,50,5,,,NA,NA,,MilliQ,,,NA,,AB,8:09,1A+1B,Liv/Christine,"2L, some rust from scissors may contaminated??",8:09,8.15,0.4,NA, 
050A,J10,TRUE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,44,,NA,1,NA,0,No,,,50,5,,,NA,NA,,MilliQ,,,NA,,AB,8:09,1A+1B,Liv/Christine,"2L, some rust from scissors may contaminated??",8:09,8.15,0.4,NA, 
051A,B10,FALSE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,44,,NA,1,NA,0,No,,,51,2,22:03,13/02/2021,-65.006,55.001,CTD,CTD 03,3700,bottom,-0.3,No,AB,8:40,1A+1B,Liv/Christine,,10:37,10.62,1,3,3 bottom
051A,B22,FALSE,F3R3,Unknown,FAM-NFQ-MGB,32.99716207,0.752474552,NA,Inconclusive,FALSE,3,31,,NA,1,33.09500815,0.195692164,Yes,,,51,2,22:03,13/02/2021,-65.006,55.001,CTD,CTD 03,3700,bottom,-0.3,No,AB,8:40,1A+1B,Liv/Christine,,10:37,10.62,1,3,3 bottom
052A,G7,TRUE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,1.467115045,No Amp,FALSE,3,44,,NA,2,NA,0,No,,,52,6,7:17,14/02/2021,-64.501,55,CTD,CTD 04,4350,bottom,-0.4,No,AB,13:18,1A+1B,Liv/Christine,,6:01,6.02,1,4,4 bottom
052A,G19,TRUE,F3R3,Unknown,FAM-NFQ-MGB,7.617520508,0.983727305,2.142703465,Amp,FALSE,3,4,,NA,2,36.48831877,0,No,,,52,6,7:17,14/02/2021,-64.501,55,CTD,CTD 04,4350,bottom,-0.4,No,AB,13:18,1A+1B,Liv/Christine,,6:01,6.02,1,4,4 bottom
053A,H1,FALSE,F3R1,Unknown,FAM-NFQ-MGB,33.15918253,0.972392857,2.6485616,Amp,FALSE,3,26,,NA,1,33.42937229,0.54037953,Yes,,,53,3,8:39,14/02/2021,-64.501,55.001,CTD,CTD 04,5,top,0.1,No,AB,13:18,1A+1B,Liv/Christine,,4:39,4.65,1,4,4 top
053A,B4,FALSE,F3R3,Unknown,FAM-NFQ-MGB,36.58017543,0.872915729,2.468472533,Amp,FALSE,3,30,,NA,5,36.2990487,0.56225345,Yes,,,53,3,8:39,14/02/2021,-64.501,55.001,CTD,CTD 04,5,top,0.1,No,AB,13:18,1A+1B,Liv/Christine,,4:39,4.65,1,4,4 top
054A,P7,TRUE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,39,,NA,3,NA,0,No,,,54,5,2:34,18/02/2021,-63.485,60.015,CTD,CTD 11,4422,bottom,-0.36,No,AB,7:47,1A+1B,Christine/Liv/Liss,,5:13,5.22,1,11,11 bottom
054A,P19,TRUE,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,39,,NA,3,NA,0,No,,,54,5,2:34,18/02/2021,-63.485,60.015,CTD,CTD 11,4422,bottom,-0.36,No,AB,7:47,1A+1B,Christine/Liv/Liss,,5:13,5.22,1,11,11 bottom
055A,L10,FALSE,F3R1,Unknown,FAM-NFQ-MGB,36.42935226,0.955593513,2.598686504,Amp,FALSE,3,31,,NA,1,35.71633048,1.426043551,Yes,,,55,2,4:23,18/02/2021,-63.48117,60.02933,CTD,CTD 11,5,top,1.35,No,AB,7:47,1A+1B,Christine/Liv/Liss,,3:24,3.4,1,11,11 top
055A,L22,TRUE,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,44,,NA,1,NA,0,No,,,55,2,4:23,18/02/2021,-63.48117,60.02933,CTD,CTD 11,5,top,1.35,No,AB,7:47,1A+1B,Christine/Liv/Liss,,3:24,3.4,1,11,11 top
056A,H10,TRUE,F3R1,Unknown,FAM-NFQ-MGB,34.66337942,0.967530296,2.64561404,Amp,FALSE,3,30,,NA,2,34.15586392,1.015030996,Yes,,,56,4,10:57,18/02/2021,-64.00288,60.0049,CTD,CTD 12,4327,bottom,-0.38,No,AB,16:16,1A+1B,Christine/Liv/Liss,"Paper dropped on bench, sample A",5:19,5.32,1,12,12 bottom
056A,H22,FALSE,F3R3,Unknown,FAM-NFQ-MGB,35.85206074,0.743189668,2.533704747,Amp,FALSE,3,32,,NA,2,35.72926824,0.245584991,Yes,,,56,4,10:57,18/02/2021,-64.00288,60.0049,CTD,CTD 12,4327,bottom,-0.38,No,AB,16:16,1A+1B,Christine/Liv/Liss,"Paper dropped on bench, sample A",5:19,5.32,1,12,12 bottom
057A,M19,FALSE,F3R3,Unknown,FAM-NFQ-MGB,32.20259503,0.937639593,2.514184307,Amp,FALSE,3,26,,NA,2,32.40009044,0.394990816,Yes,,,57,3,13:04,18/02/2021,-63.99982,59.99707,CTD,CTD 12,5,top,-0.58,No,AB,16:16,1A+1B,Christine/Liv/Liss,,3:12,3.2,1,12,12 top
057A,M7,FALSE,F3R1,Unknown,FAM-NFQ-MGB,32.34433856,0.943202538,2.632997946,Amp,FALSE,3,27,,NA,2,32.04797142,0.67975869,Yes,,,57,3,13:04,18/02/2021,-63.99982,59.99707,CTD,CTD 12,5,top,-0.58,No,AB,16:16,1A+1B,Christine/Liv/Liss,,3:12,3.2,1,12,12 top
058A,M4,FALSE,F3R1,Unknown,FAM-NFQ-MGB,35.39394313,0.778097474,2.529026662,Amp,FALSE,3,27,,NA,3,34.8127022,1.162481847,Yes,,,58,1,20:10,18/02/2021,-64.49935,59.99935,CTD,CTD 13,4300,bottom,-0.38,No,AB,10:29,1A+1B,Mad/Jess/Liv,,14:19,14.32,1,13,13 bottom
058A,M16,FALSE,F3R3,Unknown,FAM-NFQ-MGB,33.24966203,0.898805811,2.334539328,Inconclusive,FALSE,3,30,,NA,3,33.17952118,0.140281711,Yes,,,58,1,20:10,18/02/2021,-64.49935,59.99935,CTD,CTD 13,4300,bottom,-0.38,No,AB,10:29,1A+1B,Mad/Jess/Liv,,14:19,14.32,1,13,13 bottom
059A,E16,FALSE,F3R3,Unknown,FAM-NFQ-MGB,32.88588993,0.956073201,2.501023013,Amp,FALSE,3,28,,NA,2,33.18879361,0.457176152,Yes,,,59,6,21:59,18/02/2021,-64.49935,59.99935,CTD,CTD 13,5,top,0.31,No,AB,10:29,1A+1B,Mad/Jess/Liv,,12:30,12.5,1,13,13 top
