"Well","Omit","Sample","Target","Task","Dyes","Cq","Cq.Conf","Amp.Score","Amp.Status","Annotated","Baseline.Start","Baseline.End","Tm1","Tm2","Tm3","Tm4","Curve.Quality","Result.Quality.Issues","X","Plate","Average.Cq","Diff.Cq","Order","Tech.replica","Exclude"
"A6",FALSE,"119A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,1.421113196,"No Amp",FALSE,3,44,91.51318359,79.07199097,81.19160461,89.76220703,"",NA,NA,"Plate1",32.539,0,81,1,"No"
"G15",FALSE,"102A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,1.047138598,"No Amp",FALSE,3,44,76.6309967,61.55740738,73.13833618,78.83688354,"",NA,NA,"Plate1",21.68178028,0,231,1,"No"
"G3",FALSE,"047A","1","Unknown","FAM","23.07866559",0.246676533,2.620250053,"Amp",FALSE,3,17,84.0269928,74.45326233,NA,NA,"",NA,NA,"Plate4",35.312,0,39,3,"No"
"O2",FALSE,"086A","1","Unknown","FAM","23.37563641",0.235426547,2.710255942,"Amp",FALSE,3,18,84.48727417,74.72942352,NA,NA,"",NA,NA,"Plate4",23.37563641,0,31,3,"No"
"I20",FALSE,"094A","Target 1","Unknown","FAM-NFQ-MGB","24.13124405",0.192418504,2.644345198,"Amp",FALSE,3,18,84.61476135,NA,NA,NA,"",NA,NA,"Plate1",24.56493647,0.867384847,313,1,"No"
"I15",FALSE,"057A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,1.235116409,"No Amp",FALSE,3,44,78.37732697,81.9618988,72.21921539,62.93608856,"",NA,NA,"Plate1",24.85707855,0,233,1,"No"
"O1",FALSE,"053A","Target 1","Unknown","FAM-NFQ-MGB","26.90318399",0.288167298,2.480130008,"Amp",FALSE,3,18,85.12754059,NA,NA,NA,"",NA,NA,"Plate1",25.14038388,3.525600222,15,1,"No"
"I3",FALSE,"059A","1","Unknown","FAM","17.9249643",0.215806861,2.707594334,"Amp",FALSE,3,13,84.11904907,NA,NA,NA,"",NA,NA,"Plate4",25.62456239,15.39919618,41,3,"No"
"I4",FALSE,"145A","Target 1","Unknown","FAM-NFQ-MGB","26.75842171",0.991430546,2.629633484,"Amp",FALSE,3,20,75.18515015,NA,NA,NA,"",NA,NA,"Plate1",25.81452925,1.887784905,57,1,"No"
"G2",FALSE,"117A","Target 1","Unknown","FAM-NFQ-MGB","25.82369809",0.278544923,2.50530658,"Amp",FALSE,3,17,84.75930023,NA,NA,NA,"",NA,NA,"Plate1",25.82369809,0,23,1,"No"
"G4",FALSE,"106A","1","Unknown","FAM","26.45391793",0.24310929,2.782424723,"Amp",FALSE,3,19,84.57933044,74.5453186,NA,NA,"",NA,NA,"Plate4",26.52180836,0.135780856,55,3,"No"
"K16",FALSE,"104A","Target 1","Unknown","FAM-NFQ-MGB","31.04883409",0.495225889,2.405332149,"Amp",FALSE,3,20,84.71926117,NA,NA,NA,"",NA,NA,"Plate1",26.65755692,8.782554341,251,1,"No"
"E2",FALSE,"158A","Target 1","Unknown","FAM-NFQ-MGB","26.80514457",0.992445262,2.740894307,"Amp",FALSE,3,20,73.837677,NA,NA,NA,"",NA,NA,"Plate2",26.86613843,0.121987711,21,1,"No"
"I18",FALSE,"161A","Target 1","Unknown","FAM-NFQ-MGB","28.37328075",0.993712633,2.744568406,"Amp",FALSE,3,20,75.97943878,73.68280792,NA,NA,"",NA,NA,"Plate1",28.37328075,0,281,1,"No"
"A7",FALSE,"142A","1","Unknown","FAM","28.61971089",0.9936194,2.857530052,"Amp",FALSE,3,22,73.61792755,76.37823486,NA,NA,"Warning",NA,NA,"Plate4",28.84488006,0.450338337,97,3,"No"
"E1",FALSE,"157A","1","Unknown","FAM","29.41487168",0.981598835,2.856302572,"Amp",FALSE,3,22,73.53270721,75.92613983,NA,NA,"Warning",NA,NA,"Plate4",29.27403417,0.281675018,5,3,"No"
"O5",FALSE,"091A","1","Unknown","FAM","29.86938335",0.212668093,2.864324443,"Amp",FALSE,3,20,73.70993042,76.37823486,84.38313293,NA,"",NA,NA,"Plate4",29.86938335,0,79,3,"No"
"O20",FALSE,"151A","Target 1","Unknown","FAM-NFQ-MGB","30.39401065",0.994366569,2.738925761,"Amp",FALSE,3,24,76.34690094,NA,NA,NA,"",NA,NA,"Plate1",30.17533319,0.437354918,319,1,"No"
"E3",FALSE,"099A","1","Unknown","FAM","18.04613047",0.21569354,2.750240837,"Amp",FALSE,3,14,84.30316162,NA,NA,NA,"",NA,NA,"Plate4",30.98773207,25.88320319,37,3,"No"
"E4",FALSE,"082A","1","Unknown","FAM","23.08110592",0.234008463,2.669387625,"Amp",FALSE,3,17,84.48727417,NA,NA,NA,"",NA,NA,"Plate4",31.80905536,17.45589889,53,3,"No"
"K3",FALSE,"167A","Target 1","Unknown","FAM-NFQ-MGB","33.03897665",0.249884949,2.501550717,"Amp",FALSE,3,22,73.92935181,NA,NA,NA,"",NA,NA,"Plate2",31.89943685,2.279079594,43,1,"No"
"I11",FALSE,"146A","Target 1","Unknown","FAM-NFQ-MGB","32.38679102",0.99179467,2.590980202,"Amp",FALSE,3,23,75.25021362,NA,NA,NA,"",NA,NA,"Plate1",32.25679823,0.259985584,169,1,"No"
"C24",FALSE,"132A","Target 1","Unknown","FAM-NFQ-MGB","33.21880432",0.988807252,2.587065012,"Amp",FALSE,3,26,75.08885193,NA,NA,NA,"",NA,NA,"Plate1",32.44620731,1.545194004,371,1,"No"
"K13",FALSE,"135A","Target 1","Unknown","FAM-NFQ-MGB","32.55147403",0.561610016,2.381588217,"Amp",FALSE,3,25,80.03174591,83.8920517,NA,NA,"",NA,NA,"Plate1",32.55147403,0,203,1,"No"
"G7",FALSE,"149A","Target 1","Unknown","FAM-NFQ-MGB","29.427422",0.934487204,2.741840231,"Amp",FALSE,3,23,74.00335693,75.93865967,NA,NA,"",NA,NA,"Plate1",32.66002563,6.465207253,103,1,"No"
"E4",FALSE,"049A","Target 1","Unknown","FAM-NFQ-MGB","32.16667715",0.503325118,2.354532241,"Amp",FALSE,3,23,85.12754059,NA,NA,NA,"",NA,NA,"Plate1",33.10948631,1.885618317,53,1,"No"
"G14",FALSE,"155A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,1.663671559,"No Amp",FALSE,3,34,71.8515625,62.84417725,65.9691925,90.69355011,"",NA,NA,"Plate1",33.86426548,0,215,1,"No"
"E15",FALSE,"108A","Target 1","Unknown","FAM-NFQ-MGB","40.54923028",0.642790772,1.855204222,"Inconclusive",FALSE,3,22,85.45455933,90.14207458,78.65306091,NA,"",NA,NA,"Plate1",34.29085125,12.51675806,229,1,"No"
"M4",FALSE,"147A","Target 1","Unknown","FAM-NFQ-MGB","35.37646021",0.979639372,2.445432497,"Amp",FALSE,3,27,75.27721405,NA,NA,NA,"",NA,NA,"Plate1",34.41265561,1.927609198,61,1,"No"
"O10",FALSE,"089A","Target 1","Unknown","FAM-NFQ-MGB","33.17201958",0.563879743,2.312495484,"Amp",FALSE,3,24,85.17515564,NA,NA,NA,"",NA,NA,"Plate1",34.68980176,3.035564355,159,1,"No"
"G8",FALSE,"055A","Target 1","Unknown","FAM-NFQ-MGB","35.34589298",0.712573587,2.051485628,"Inconclusive",FALSE,3,22,85.15435791,NA,NA,NA,"",NA,NA,"Plate1",34.81551222,1.060761529,119,1,"No"
"E1",FALSE,"088A","Target 1","Unknown","FAM-NFQ-MGB","34.06398738",0.417586723,2.675095107,"Amp",FALSE,3,24,74.08044434,85.03547668,76.19780731,NA,"",NA,NA,"Plate1",36.04943038,3.97088601,5,1,"No"
"O7",FALSE,"084A","1","Unknown","FAM","35.81490797",0.655700169,2.435841185,"Amp",FALSE,3,20,78.77050018,84.29112244,NA,NA,"",NA,NA,"Plate4",36.47694795,1.324079954,111,3,"No"
"E5",FALSE,"148A","Target 1","Unknown","FAM-NFQ-MGB","36.09678335",0.984883103,2.768697273,"Amp",FALSE,3,27,75.47787476,NA,NA,NA,"",NA,NA,"Plate1",36.59152587,0.98948504,69,1,"No"
"A1",FALSE,"124A","Target 1","Unknown","FAM-NFQ-MGB","36.78195657",0.989286825,2.783970351,"Amp",FALSE,3,27,75.82956696,NA,NA,NA,"",NA,NA,"Plate1",36.97279301,0.381672877,1,1,"No"
"K21",FALSE,"071A","Target 1","Unknown","FAM-NFQ-MGB","37.01470606",0.981005052,2.648985676,"Amp",FALSE,3,31,72.41989136,76.56138611,NA,NA,"",NA,NA,"Plate1",37.01470606,0,331,1,"No"
"E1",FALSE,"079A","Target 1","Unknown","FAM-NFQ-MGB","34.88560111",0.551109922,2.806802134,"Amp",FALSE,3,24,75.21273041,NA,NA,NA,"",NA,NA,"Plate2",37.41266468,5.05412714,5,1,"No"
"A23",FALSE,"107A","Target 1","Unknown","FAM-NFQ-MGB","37.6293605",0.98827001,2.787850334,"Amp",FALSE,3,32,75.54901886,NA,NA,NA,"",NA,NA,"Plate1",37.6293605,0,353,1,"No"
"C6",FALSE,"121A","1","Unknown","FAM","37.93356343",0.989388549,2.888258146,"Amp",FALSE,3,30,74.99807739,NA,NA,NA,"Warning",NA,NA,"Plate4",37.93356343,0,83,3,"No"
