Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Curve Quality,Result Quality Issues,Plate,Mean Cq,Max diff Cq,Krill positive,Comment,Exclude
J10,TRUE,050A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,NA,0,No,,
J11,TRUE,050A,F3R1,Unknown,FAM-NFQ-MGB,19.63596193,0.849268855,,Inconclusive,FALSE,3,16,,,1,,,,,
J12,TRUE,050A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,,,,,
J22,TRUE,050A,F3R3,Unknown,FAM-NFQ-MGB,18.89857181,0.884421861,2.1970589,Inconclusive,FALSE,3,14,,,1,NA,0,No,,
J23,TRUE,050A,F3R3,Unknown,FAM-NFQ-MGB,20.59213679,0.877258498,2.25560539,Inconclusive,FALSE,3,17,,,1,,,,,
J24,TRUE,050A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,,,,,
G4,TRUE,060A,F3R1,Unknown,FAM-NFQ-MGB,36.00246702,0.916512367,2.678690694,Amp,FALSE,3,29,,,1,36.00246702,0,No,,
G5,TRUE,060A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,,,,,
G6,TRUE,060A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,,,,,
G16,TRUE,060A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,NA,0,No,,
G17,TRUE,060A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,,,,,
G18,TRUE,060A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,,,,,
J7,TRUE,070A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,NA,0,No,,
J8,TRUE,070A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,,,,,
J9,TRUE,070A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,,,,,
J19,TRUE,070A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,1.154748546,No Amp,FALSE,3,44,,,1,NA,0,No,,
J20,TRUE,070A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,,,,,
J21,TRUE,070A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,1.531290992,No Amp,FALSE,3,44,,,1,,,,,
N1,TRUE,071A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,1.436617147,No Amp,FALSE,3,39,,,3,36.41495533,2.746567861,No,"If conf-ints are taken into account, meets criteria.",
N2,TRUE,071A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,,,,,
N3,TRUE,071A,F3R1,Unknown,FAM-NFQ-MGB,37.78823926,0.368239882,2.304599082,Inconclusive,FALSE,3,32,,,3,,,,,
G7,FALSE,071A,F3R1,Unknown,FAM,Undetermined,0,,No Amp,FALSE,3,39,,,6,35.0416714,0,No,,Yes
G8,FALSE,071A,F3R1,Unknown,FAM,35.0416714,0.960209553,2.53736549,Amp,FALSE,3,29,,,6,,,,,
G9,FALSE,071A,F3R1,Unknown,FAM,Undetermined,0,,No Amp,FALSE,3,39,,,6,,,,,
I10,TRUE,080A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,1.018573129,No Amp,FALSE,3,44,,,1,NA,0,No,,
I11,TRUE,080A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,,,,,
I12,TRUE,080A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,,,,,
I22,TRUE,080A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,1.708026912,No Amp,FALSE,3,44,,,1,NA,0,No,,
I23,TRUE,080A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,,,,,
I24,TRUE,080A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,,,,,
N1,TRUE,090A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,NA,0,No,,
N2,TRUE,090A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,,,,,
N3,TRUE,090A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,,,,,
N13,TRUE,090A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,NA,0,No,,
N14,TRUE,090A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,1.455553824,No Amp,FALSE,3,44,,,1,,,,,
N15,TRUE,090A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,,,,,
L4,TRUE,100A,F3R1,Unknown,FAM-NFQ-MGB,15.27238688,0.561696396,1.930123487,Inconclusive,FALSE,3,11,,,3,NA,0,No,,
L5,TRUE,100A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,,,,,
L6,TRUE,100A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,,,,,
L16,TRUE,100A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,1.476407569,No Amp,FALSE,3,39,,,3,33.64009757,0,No,,
L17,TRUE,100A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,1.536554027,No Amp,FALSE,3,39,,,3,,,,,
L18,TRUE,100A,F3R3,Unknown,FAM-NFQ-MGB,33.64009757,0.863631809,2.334196053,Inconclusive,FALSE,3,28,,,3,,,,,
K10,TRUE,110A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,2,NA,0,No,,
