Sample number,Sample,Bottle number,Sampling time UTC,Date,Latitude,Longitude,Sampling method ,Sampling type,Sampling depth,CTD depth,seawater temperature,sea ice ,Filter halved ,Filtering time UTC,Storage boxes,Collectors,Comments,Time between filtering and sampling,Time.between.decimal,Percent of 5 Litres,CTD number,CTD category
47,047A,3,13:41,13/02/2021,-65.525,55.05,CTD,CTD 02,5,top,-1.5,Ice edge (2 nm),AB,17:35,1A+1B,Liv/Liss/Christine/Mads,"Lat entered as -65.31.47, Lon entered as 55.03",3:54,3.9,1,2,2 top
48,048A,5,12.55,13/02/2021,-65.525,55.05,CTD,CTD 02,960,bottom,-1.5,Ice edge (2 nm),AB,17:35,1A+1B,Liv/Liss/Christine/Mads,"Lat entered as -65.31.47, Lon entered as 55.02.99",4:23,4.38,1,2,2 bottom
49,049A,1,0:00,13/02/2021,-65.006,55.001,CTD,CTD 03,5,top,-0.03,No,AB,8:09,1A+1B,Liv/Christine/night shift,,8:09,8.15,1,3,3 top
50,050A,5,,,,,,MilliQ,,,,,AB,8:09,1A+1B,Liv/Christine,"2L, some rust from scissors may contaminated??",8:09,8.15,0.4,, 
51,051A,2,22:03,13/02/2021,-65.006,55.001,CTD,CTD 03,3700,bottom,-0.3,No,AB,8:40,1A+1B,Liv/Christine,,10:37,10.62,1,3,3 bottom
52,052A,6,7:17,14/02/2021,-64.501,55,CTD,CTD 04,4350,bottom,-0.4,No,AB,13:18,1A+1B,Liv/Christine,,6:01,6.02,1,4,4 bottom
53,053A,3,8:39,14/02/2021,-64.501,55.001,CTD,CTD 04,5,top,0.1,No,AB,13:18,1A+1B,Liv/Christine,,4:39,4.65,1,4,4 top
54,054A,5,2:34,18/02/2021,-63.485,60.015,CTD,CTD 11,4422,bottom,-0.36,No,AB,7:47,1A+1B,Christine/Liv/Liss,,5:13,5.22,1,11,11 bottom
55,055A,2,4:23,18/02/2021,-63.48117,60.02933,CTD,CTD 11,5,top,1.35,No,AB,7:47,1A+1B,Christine/Liv/Liss,,3:24,3.4,1,11,11 top
56,056A,4,10:57,18/02/2021,-64.00288,60.0049,CTD,CTD 12,4327,bottom,-0.38,No,AB,16:16,1A+1B,Christine/Liv/Liss,"Paper dropped on bench, sample A",5:19,5.32,1,12,12 bottom
