"Sample","CTD.category","Cop.Corr.R1","Cop.Corr.R3","L1","L3","Krill.pos.R1","Krill.pos.R3","Sample.number","Bottle.number","Sampling.time.UTC","Date","Latitude","Longitude","Sampling.method","Sampling.type","Sampling.depth","CTD.depth","seawater.temperature","sea.ice","Filter.halved","Filtering.time.UTC","Storage.boxes","Collectors","Comments","Time.between.filtering.and.sampling","Time.between.decimal","Percent.of.5.Litres","CTD.number.x","pr","pr.2","class.strict","model.method","Euphausia.crystallorophias","Euphausia.frigida","Euphausia.superba","Thysanoessa.gregaria","Thysanoessa.macrura","Total","Sample.ID","CTD.number.y","lat_dec","long_dec","presence","count","count.class","depth","E.crystallorophias.presence","E.frigida.presence","E.superba.presence","T.gregaria.presence","T.macrura.presence","E.crystal.pres.prop","E.frig.pres.prop","E.super.pres.prop","T.greg.pres.prop","T.mac.pres.prop","krill.detection","E.crystal.read.prop","E.frig.read.prop","E.super.read.prop","T.greg.read.prop","T.mac.read.prop","Average.Cq","Diff.Cq","Dilution.factor","Meta.copies","Meta.E.sup.copies","Meta.E.cry.copies","Meta.E.fri.copies","Meta.T.gre.copies","Meta.T.mac.copies","Meta.Euphausiids.copies","Meta.E.sup.L1","Meta.E.cry.L1","Meta.E.fri.L1","Meta.T.gre.L1","Meta.T.mac.L1","Meta.Euphausiids.L1","eDNA_pres","metag_pres","sample_date","transect","water_depth","ntod.prev","curr_v","trawlno.tr","trawltype.tr","date.tr","net_open_date_utc_YYYYMMDD.tr","net_open_time_utc.tr","net_open_lat_deg.tr","net_open_lat_min.tr","net_open_lat_dec.tr","net_open_lon_deg.tr","net_open_lon_dec_min.tr","net_open_lon_dec.tr","X.tr","net_open_depth.tr","net_close_date_utc.tr","net_close_time_utc.tr","net_close_lat_deg.tr","net_close_lat_min.tr","net_close_lat_dec.tr","net_close_lon_deg.tr","net_close_lon_min.tr","net_close_lon_dec.tr","X.1.tr","net_close_depth.tr","flow_meter_start.tr","flow_meter_end.tr","bottom_depth.tr","ship_speed_knots.tr","ship_heading.tr","bio_tube_no.tr","igr_exp_no.tr","ecotox.tr","gravids.tr","SIA.tr","Swarm.Study.tr","notes.tr","Trawl.tr","Filtered.volume..m3..tr","E.superba.estimate.tr","Crystal..62.2..tr","Tmac..33.7..tr","Triacantha..assume.62.2..tr","longitude.tr","latitude.tr","open_date_time.tr","close_date_time.tr","date_time.tr","transect.tr","Date.tr","Latitude.tr","Longitude.tr","Depth.tr","E.superba.tr","E.superba.gravid.tr","E.superba.juvenile.tr","E.superba.calyptopsis.I.tr","E.superba.furcilia.II.tr","E.superba.furcilia.II.1.tr","E.superba.late.stage.furcilia.tr","E.superba.total.tr","T.macrura.tr","T.macrura.calyptopsis.I.tr","T.macrura.calypopsis.II.tr","T.macrura.calyptopsis.III.tr","T.macrura.late.furcilia.tr","T.macrura.furcilia.I.tr","T.macrura.furcilia.II.tr","T.macrura.furcilia.III.tr","T.macrura.furcilia.IV.tr","T.macrura.furcilia.V.tr","T.macrura.furcilia.VI.tr","T.macrura.juvenile.tr","T.macrura.total.tr","Euphausiid.calyptopsis.tr","Euphausiid.calyptopsis.I.tr","Euphausiid.calyptopsis.II.tr","Euphausiid.furcilia.tr","Euphausiid.furcilia.I.tr","Euphausiid.juvenile.tr","Euphausiid.total.tr","distance.tr","Sampling.type.tr"
"047A","2 top",291.627135898404,NA,5.67547605444132,NA,"Yes","No",47,"3","13:41","13/02/2021",-65.525,55.05,"CTD","CTD 02","5","top",-1.5,"Ice edge (2 nm)","AB","17:35","1A+1B","Liv/Liss/Christine/Mads","Lat entered as -65.31.47, Lon entered as 55.03","3:54",3.9,1,2,NA,1,"old","manual",0,0,38695,0,0,38695,"X047A",2,65.64694444,55.30833333,"n","0",0,"top",0,0,TRUE,0,0,0,0,1,0,0,1,0,0,1,0,0,35.312,0,0.083333333,18057.8140818163,18057.8140818163,0,0,0,0,18057.8140818163,9.80133378320119,NA,NA,NA,NA,9.80133378320119,"eDNA present","metagenomics E.superba present",2021-02-13 13:41:00,NA,1159,1.26694131494871,NA,"R01","routine","13/02/2021",20210213,"14:20:15",-65,31.21,-65.52016667,55,1.68,55.028,"E","200",20210213,"14:40:07",-65,30.56,-65.50933333,55,0.4,55.00666667,"E","20",27168,83052,"960",1.75,"320","","","","","ü","","No depth available, net opened at 300m wire out, closed at 20m wire out.","R1",12189.41808,0,0,1.066499,0,55.017333335,-65.51475,1613226015,1613227207,2021-02-14 01:30:11,NA,"2/13/2021",-65.52016667,55.028,"960",0,0,0,0,0,0,0,0,0,0,20.93578669,0,0,0,0,0,0,0,0,0,20.93578669,0,0,0,0,0,0,0,1.14725577526572,"CTD 02"
"048A","2 bottom",NA,NA,NA,NA,"No","No",48,"5","12.55","13/02/2021",-65.525,55.05,"CTD","CTD 02","960","bottom",-1.5,"Ice edge (2 nm)","AB","17:35","1A+1B","Liv/Liss/Christine/Mads","Lat entered as -65.31.47, Lon entered as 55.02.99","4:23",4.38,1,2,NA,NA,"eDNA no krill",NA,0,0,104730,0,0,104730,"X048A",2,65.64694444,55.30833333,"y","<10",10,"bottom",0,0,TRUE,0,0,0,0,1,0,0,1,0,0,1,0,0,40.04022277,0,1,56.6657243430989,56.6657243430989,0,0,0,0,56.6657243430989,4.03716951900445,NA,NA,NA,NA,4.03716951900445,"eDNA absent","metagenomics E.superba present",2021-02-13 12:55:00,NA,1159,1.20640659155877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"049A","3 top",592.59695694273,45.4210314026917,6.38451450003133,3.81597524453697,"Yes","Yes",49,"1","0:00","13/02/2021",-65.006,55.001,"CTD","CTD 03","5","top",-0.03,"No","AB","8:09","1A+1B","Liv/Christine/night shift","","8:09",8.15,1,3,0.991831346496161,0.991831346496161,"old","model",0,0,44189,0,0,44189,"X049A",3,65.00138889,55.04,"y","<10",10,"top",0,0,TRUE,0,0,0,0,1,0,0,1,0,0,1,0,0,33.10948631,1.885618317,0.166666667,41595.1712847355,41595.1712847355,0,0,0,0,41595.1712847355,10.635739364626,NA,NA,NA,NA,10.635739364626,"eDNA present","metagenomics E.superba present",2021-02-13 00:00:00,NA,3737,0.448241830543168,NA,"R02","routine","14/02/2021",20210214,"0:47:00",-65,0.22,-65.00366667,54,58.35,54.9725,"E","200",20210214,"1:06:18",-65,0.35,-65.00583333,54,56.78,54.94633333,"E","20",83052,129463,"3669",2,"258","","","","","ü","","","R2",10123.16732,0,0,4.741599,0,54.959416665,-65.00475,1613263620,1613264778,2021-02-14 11:56:39,1,"2/14/2021",-65.00366667,54.9725,"3669",0,0,0,0,0,0,0,0,0,0,12.60450651,0,37.81351954,0,25.20901303,0,0,0,0,0,75.62703908,0,0,0,0,0,0,0,1.36396474011143,"CTD 03"
"051A","3 bottom",308.438604348662,308.438604348662,5.73152281008311,5.73152281008311,"No","Yes",51,"2","22:03","13/02/2021",-65.006,55.001,"CTD","CTD 03","3700","bottom",-0.3,"No","AB","8:40","1A+1B","Liv/Christine","","10:37",10.62,1,3,NA,0.5,"undetermined","manual",1,0,118168,0,0,118169,"X051A",3,65.00138889,55.04,"n","0",0,"bottom",0,0,TRUE,0,0,0,0,1,0,0,1,0,0,0.999991537543687,0,0,40.59030979,0,1,38.6929269260932,38.6925994888895,0,0,0,0,38.6925994888895,3.65564835407212,NA,NA,NA,NA,3.65564835407212,"eDNA present","metagenomics E.superba present",2021-02-13 22:03:00,1,3737,0.185064697711821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"052A","4 bottom",NA,NA,NA,NA,"No","No",52,"6","7:17","14/02/2021",-64.501,55,"CTD","CTD 04","4350","bottom",-0.4,"No","AB","13:18","1A+1B","Liv/Christine","","6:01",6.02,1,4,NA,NA,"eDNA no krill",NA,0,0,77775,0,0,77775,"X052A",4,64.51083333,55.01055556,"n","0",0,"bottom",0,0,TRUE,0,0,0,0,1,0,0,1,0,0,1,0,0,42.74926728,0,1,8.65651692653149,8.65651692653149,0,0,0,0,8.65651692653149,2.15831243919019,NA,NA,NA,NA,2.15831243919019,"eDNA absent","metagenomics E.superba present",2021-02-14 07:17:00,1,4179,0.901480540002061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"053A","4 top",694.639690970019,42.2873912768601,6.5433932808744,3.74448896305676,"Yes","Yes",53,"3","8:39","14/02/2021",-64.501,55.001,"CTD","CTD 04","5","top",0.1,"No","AB","13:18","1A+1B","Liv/Christine","","4:39",4.65,1,4,0.998904745093863,0.998904745093863,"old","model",0,0,88341,0,0,88341,"X053A",4,64.51083333,55.01055556,"n","0",0,"top",0,0,TRUE,0,0,0,0,1,0,0,1,0,0,1,0,0,25.14038388,3.525600222,0.066666667,26140565.6901192,26140565.6901192,0,0,0,0,26140565.6901192,17.0789989067112,NA,NA,NA,NA,17.0789989067112,"eDNA present","metagenomics E.superba present",2021-02-14 08:39:00,1,4179,0.963320794902183,NA,"R03","routine","14/02/2021",20210214,"10:01:10",-64,30.06,-64.501,54,59.4,54.99,"E","200",20210214,"10:24:24",-64,30.07,-64.50116667,54,57.77,54.96283333,"E","20",129452,163089,"4265",1.75,"275","","","","","ü","","Net redeployed to 50m (lack of communication from deck box to releases)
Close signals sent twice after at 10:23:33UTC and 10:24:24UTC) ","R3",7336.4662,0.136305,0,0,0,54.976416665,-64.501083335,1613296870,1613298264,2021-02-14 21:12:47,1,"2/14/2021",-64.501,54.99,"4265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.695599367,0,8.695599367,0,0,43.47799684,0,0,0,43.47799684,0.526558705580156,"CTD 04"
"054A","11 bottom",NA,NA,NA,NA,"No","No",54,"5","2:34","18/02/2021",-63.485,60.015,"CTD","CTD 11","4422","bottom",-0.36,"No","AB","7:47","1A+1B","Christine/Liv/Liss","","5:13",5.22,1,11,NA,NA,"eDNA no krill",NA,0,0,67635,0,6854,74525,"X054A",11,63.70861111,60.22888889,"n","0",0,"bottom",0,0,TRUE,0,1,0,0,0.5,0,0.5,1,0,0,0.907986414101411,0,0.0920135858985891,39.66277669,1.219727837,1,73.6222393130826,66.8157015221784,0,0,0,6.7709738779184,73.5866754000968,4.20193810564926,NA,NA,NA,1.91264492856052,4.29846396858542,"eDNA absent","metagenomics E.superba present",2021-02-18 02:34:00,2,4346,0.597254761691854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"055A","11 top",156.085453279399,NA,5.05040363470629,NA,"Yes","No",55,"2","4:23","18/02/2021",-63.48117,60.02933,"CTD","CTD 11","5","top",1.35,"No","AB","7:47","1A+1B","Christine/Liv/Liss","","3:24",3.4,1,11,NA,1,"old","manual",0,0,0,0,16855,17019,"X055A",11,63.70861111,60.22888889,"n","0",0,"top",0,0,FALSE,0,1,0,0,0,0,1,1,0,0,0,0,1,34.81551222,1.060761529,0.066666667,31850.7525828693,0,0,0,0,31543.8295307752,31543.8295307752,NA,NA,NA,NA,10.3591332713701,10.3591332713701,"eDNA present","metagenomics E.superba absent",2021-02-18 04:23:00,2,4352,0.726065494607694,NA,"R08","routine","18/02/2021",20210218,"4:55",-63,29.08,-63.48466667,60,2.82,60.047,"E","210",20210218,"5:11:43",-63,29.32,-63.48866667,60,3.95,60.06583333,"E","20",343248,382237,"4352",1.8,"110","","","","","ü","","","R8",8504.28068,0,0,1.528642,0,60.056416665,-63.48666667,1613624100,1613625103,2021-02-18 16:03:21,2,"2/18/2021",-63.48466667,60.047,"4352",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.959527307593109,"CTD 11"
"056A","12 bottom",585.485412325983,66.0863348525385,6.37244126782728,4.19096199103034,"Yes","Yes",56,"4","10:57","18/02/2021",-64.00288,60.0049,"CTD","CTD 12","4327","bottom",-0.38,"No","AB","16:16","1A+1B","Christine/Liv/Liss","Paper dropped on bench, sample A","5:19",5.32,1,12,0.866768563399859,0.866768563399859,"undetermined","model",0,0,130149,0,0,130149,"X056A",12,64.25638889,60.20861111,"n","0",0,"bottom",0,0,TRUE,0,0,0,0,1,0,0,1,0,0,1,0,0,42.91104962,0.844961252,1,7.73772983401664,7.73772983401664,0,0,0,0,7.73772983401664,2.04610834148124,NA,NA,NA,NA,2.04610834148124,"eDNA present","metagenomics E.superba present",2021-02-18 10:57:00,2,4321,1.11164565066605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"057A","12 top",2318.16655022477,561.362167380933,7.74853187214891,6.33036627188309,"Yes","Yes",57,"3","13:04","18/02/2021",-63.99982,59.99707,"CTD","CTD 12","5","top",-0.58,"No","AB","16:16","1A+1B","Christine/Liv/Liss","","3:12",3.2,1,12,0.0994572814546287,0.0994572814546287,"recent","model",0,0,24924,0,0,24924,"X057A",12,64.25638889,60.20861111,"n","0",0,"top",0,0,TRUE,0,0,0,0,1,0,0,1,0,0,1,0,0,24.85707855,0,0.083333333,25452937.0399119,25452937.0399119,0,0,0,0,25452937.0399119,17.052341698621,NA,NA,NA,NA,17.052341698621,"eDNA present","metagenomics E.superba present",2021-02-18 13:04:00,2,4318,1.30369942196532,NA,"R09","routine","18/02/2021",20210218,"13:31:17",-63,59.85,-63.9975,60,1.02,60.017,"E","201",20210218,"13:47:11",-63,59.73,-63.9955,60,2.37,60.0395,"E","30",382236,430290,"4338",2,"74.8","","","","","","","","R9",10481.53848,0,0,0.572435,0,60.02825,-63.9965,1613655077,1613656031,2021-02-19 00:39:14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00519567203406,"CTD 12"
