Site,Date,Latitude,Longitude,Depth,E.superba,E.superba.gravid,E.superba.juvenile,E.superba.calyptopsis.I,E.superba.furcilia.II,E.superba.furcilia.II,E.superba.late.stage.furcilia,E.superba.total,T.macrura,T.macrura.calyptopsis.I,T.macrura.calypopsis.II,T.macrura.calyptopsis.III,T.macrura.late.furcilia,T.macrura.furcilia.I,T.macrura.furcilia.II,T.macrura.furcilia.III,T.macrura.furcilia.IV,T.macrura.furcilia.V,T.macrura.furcilia.VI,T.macrura.juvenile,T.macrura.total,Euphausiid.calyptopsis,Euphausiid.calyptopsis.I,Euphausiid.calyptopsis.II,Euphausiid.furcilia,Euphausiid.furcilia.I,Euphausiid.juvenile,Euphausiid.total
R01,2/13/2021,-65.52016667,55.028,960,0,0,0,0,0,0,0,0,0,0,20.93578669,0,0,0,0,0,0,0,0,0,20.93578669,0,0,0,0,0,0,0
R02,2/14/2021,-65.00366667,54.9725,3669,0,0,0,0,0,0,0,0,0,0,12.60450651,0,37.81351954,0,25.20901303,0,0,0,0,0,75.62703908,0,0,0,0,0,0,0
R03,2/14/2021,-64.501,54.99,4265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.695599367,0,8.695599367,0,0,43.47799684,0,0,0,43.47799684
R04,2/14/2021,-64.01,54.9615,4463,0,0,0,0,0,0,0,0,32.79538903,0,0,0,0,0,0,0,0,0,0,0,32.79538903,0,16.39769451,131.1815561,0,0,0,147.5792506
R06,2/15/2021,-61.98933333,54.98016667,4992,0,0,0,0,0,0,0,0,0,0,0,80.28791049,0,0,0,0,0,0,0,0,80.28791049,0,0,0,80.28791049,0,0,80.28791049
R08,2/18/2021,-63.48466667,60.047,4352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R10,2/18/2021,-64.497,60.00366667,4240,0,0,0,0,0,0,0,0,0,0,55.91815245,0,0,55.91815245,83.87722867,0,0,0,0,0,195.7135336,0,27.95907622,0,0,0,0,27.95907622
R11,2/19/2021,-65.52916667,60.004,3806,2.69982717,0,0,0,0,0,0,2.69982717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.049740755,4.049740755
R13,2/20/2021,-66.40733333,60.27333333,2302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.302738749,0,0,0,0,0,2.302738749
R15,2/23/2021,-66.53833333,65.0005,2278,0,0,0,0,0,0,0,0,3.33622908,20.01737448,0,0,0,3.33622908,0,0,0,0,0,0,26.68983264,0,0,0,0,0,0,0
R16,2/24/2021,-66.25716667,65.00783333,2456,0,0,6.211247922,0,12.42249584,0,0,18.63374376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R17,2/24/2021,-65.50601667,65.00473333,2731,0,0,0,0,0,10.18149109,0,10.18149109,6.787660724,0,0,0,0,0,0,0,0,0,0,0,6.787660724,0,0,0,0,0,0,0
R18,2/24/2021,-65.00166667,64.9825,3231,0,0,0,0,0,0,0,0,-4.497119239,0,0,0,0,-0.310146154,-0.465219232,0,-0.155073077,0,-0.310146154,0,-5.737703856,0,0,0,0,0,0,0
R19,2/25/2021,-64.49416667,65.0075,3908,0,0,0,0,0,0,0,0,0,40.41924631,0,0,0,0,0,0,13.4730821,0,13.4730821,0,67.36541051,0,0,0,0,0,0,0
R21,2/26/2021,-62.9965,64.997,4292,0,0,0,7.375406624,0,0,0,7.375406624,0,0,0,0,0,0,59.003253,0,0,29.5016265,0,0,88.5048795,0,0,0,0,0,0,0
R22,2/27/2021,-61.98066667,65.02583333,4335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.3188788,0,0,0,0,145.3188788,0,0,0,0,0,0,0
R23,2/27/2021,-61.99483333,69.996,4130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.7484298,89.3742149,89.3742149,0,357.4968596,0,0,0,178.7484298,0,0,178.7484298
R24,3/01/2021,-63.97483333,70.007,3530,0,0,0,0,0,0,0,0,0,0,11.16324928,0,0,0,0,0,0,0,0,0,11.16324928,0,0,0,0,0,0,0
R25,3/01/2021,-64.42316667,69.94466667,3235,0,24.32128684,24.32128684,0,0,0,0,48.64257368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R26,3/02/2021,-64.77583333,70.003,3180,0,0,0,0,0,0,0,0,0,0,0,47.72098967,0,0,0,0,0,0,0,0,47.72098967,0,0,0,0,0,0,0
R27,3/02/2021,-65.341,69.99483333,2753,0,0,0,0,0,0,0,0,0,10.61837929,0,0,0,0,0,0,0,0,0,0,10.61837929,0,0,0,21.23675858,0,0,21.23675858
R28,3/05/2021,-67.97366667,75.00766667,483,0,0,5.255085878,0,8.408137405,7.357120229,0,21.02034351,0,0,0,0,0,0,0,0,0,0,0,1.051017176,1.051017176,0,0,0,1.051017176,0,0,1.051017176
R29,3/05/2021,-67.67766667,74.68116667,485,0,0,0,0,0,0,0,0,41.63991089,0,0,0,0,0,0,0,0,0,0,0,41.63991089,3.785446445,0,0,0,0,71.92348245,75.7089289
R30,3/05/2021,-67.33466667,74.61533333,451,11.00483631,0,0,3.668278769,0,0,0,14.67311508,22.00967261,0,0,0,0,7.336557538,0,0,0,0,0,0,29.34623015,0,0,0,0,0,0,0
R31,3/06/2021,-66.807,74.93166667,1795,0,0,0,338.5948697,0,0,0,338.5948697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R32,3/06/2021,-66.50316667,75.02133333,2429,0,0,0,0,0,0,0,0,0,0,0,0,160.7440412,0,0,0,0,0,0,0,160.7440412,53.58134706,0,0,0,0,0,53.58134706
R33,3/07/2021,-66.00383333,75.0165,2993,0,0,0,0,0,0,0,0,0,281.1562501,0,0,0,0,0,0,28.11562501,56.23125002,28.11562501,0,393.6187501,0,0,0,0,0,0,0
R34,3/07/2021,-65.00533333,75.0175,3231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.86195877,-4.953986258,0,0,-19.81594503,0,0,0,0,0,0,0
R35,3/08/2021,-64.00666667,75.00566667,3643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R36,3/08/2021,-63.00266667,75.00166667,3821,0,0,0,0,0,0,0,0,0,0,0,18.34334928,1137.287655,18.34334928,0,0,0,0,0,0,1173.974354,0,0,0,0,0,0,0
R37,3/10/2021,-62.99483333,79.99766667,3501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4285295,190.4760787,0,261.9046082,0,0,0,0,0,0,0
R38,3/10/2021,-63.747,79.988,3673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.5867336,112.7823115,112.7823115,0,310.1513566,0,0,0,0,0,0,0
R39,3/11/2021,-64.253,79.97866667,3628,0,0,0,0,0,0,311.4052577,311.4052577,0,0,0,0,0,0,0,103.8017526,0,0,0,0,103.8017526,0,0,0,0,0,0,0
R40,3/11/2021,-64.57916667,79.99616667,3605,0,0,0,0,0,0,0,0,0,0,0,0,59.7581788,0,0,0,59.7581788,0,59.7581788,0,179.2745364,0,59.7581788,0,0,0,0,59.7581788
R41,3/11/2021,-64.92083333,80.027,3576,0,0,0,0,0,0,0,0,0,0,57.46300453,0,0,57.46300453,0,57.46300453,861.9450679,0,0,0,1034.334081,0,0,0,0,0,0,0
T01,2/19/2021,-64.51933333,60.0005,sounder off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.19477747,0,145.7529972,0,161.9477747
T02,2/20/2021,-66.0255,60.02933333,sounder off,17.73765166,0,0,0,0,0,0,17.73765166,8.868825831,0,0,0,0,0,0,0,0,0,0,0,8.868825831,4.434412916,0,0,0,0,0,4.434412916
T04,2/21/2021,-66.58366667,62.09066667,773,45.09155333,0,0,0,0,0,0,45.09155333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T05,2/24/2021,-65.99916667,65.00116667,2456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.329266095,8.65853219,0,3.246949571,20.56401395,0,36.79876181,0,0,0,0,0,0,0
T06,2/25/2021,-64.90933333,64.99716667,3520,6.357298957,0,0,0,0,0.908185565,0,7.265484522,6.357298957,0,0,0,0,1.816371131,1.816371131,0,0.908185565,0,0,0,10.89822678,0,0,0,0,0,0,0
T07,3/01/2021,-64.0595,70.0015,3530,4.59823732,0,0,0,0,0,0,4.59823732,0,0,0,0,32.18766124,0,0,0,0,0,0,0,32.18766124,0,0,0,59.77708516,13.79471196,0,73.57179712
T08,3/01/2021,-64.277,69.99983333,3392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.43442451,37.43442451,0,0,0,0,0,0,0
T09,3/03/2021,-65.67883333,70,2660,0,0,0,0,0,0,0,0,18.61121633,0,0,0,0,0,0,9.305608167,9.305608167,37.22243267,37.22243267,0,111.667298,0,0,0,0,0,0,0
T10,3/05/2021,-67.58716667,74.67516667,460,0,0,396.1391505,0,38.1820868,0,0,434.3212373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T11,3/06/2021,-66.46683333,75.99733333,2429,0,0,0,0,0,0,0,0,154.1368162,0,0,0,0,0,0,0,0,0,616.5472649,0,770.6840811,0,616.5472649,0,0,0,0,616.5472649
T12,3/06/2021,-66.46166667,74.99883333,2429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.9596719,75.97983593,0,759.7983593,0,987.7378671,0,75.97983593,0,0,0,0,75.97983593
T14,3/07/2021,-64.95416667,74.99783333,3220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.03205834,65.03205834,130.0641167,0,260.1282334,0,0,0,0,0,0,0
T18,3/09/2021,-62.99983333,79.79083333,3566,30.1408018,0,0,0,0,0,0,30.1408018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
