trawlno,trawltype,date,net_open_date_utc_YYYYMMDD,net_open_time_utc,net_open_lat_deg,net_open_lat_min,net_open_lat_dec,net_open_lon_deg,net_open_lon_dec_min,net_open_lon_dec,,net_open_depth,net_close_date_utc,net_close_time_utc,net_close_lat_deg,net_close_lat_min,net_close_lat_dec,net_close_lon_deg,net_close_lon_min,net_close_lon_dec,,net_close_depth,flow_meter_start,flow_meter_end,bottom_depth,ship_speed_knots,ship_heading,bio_tube_no,igr_exp_no,ecotox,gravids,SIA,Swarm Study,notes,Trawl,Filtered volume (m3),E superba estimate,Crystal (62.2),Tmac (33.7),Triacantha (assume 62.2)
R01,routine,13/02/2021,20210213,14:20:15,-65,31.21,-65.52016667,55,1.68,55.028,E,200,20210213,14:40:07,-65,30.56,-65.50933333,55,0.4,55.00666667,E,20,27168,83052,960,1.75,320,,,,,ü,,"No depth available, net opened at 300m wire out, closed at 20m wire out.",R1,12189.41808,0,0,1.066499,0
R02,routine,14/02/2021,20210214,0:47:00,-65,0.22,-65.00366667,54,58.35,54.9725,E,200,20210214,1:06:18,-65,0.35,-65.00583333,54,56.78,54.94633333,E,20,83052,129463,3669,2,258,,,,,ü,,,R2,10123.16732,0,0,4.741599,0
R03,routine,14/02/2021,20210214,10:01:10,-64,30.06,-64.501,54,59.4,54.99,E,200,20210214,10:24:24,-64,30.07,-64.50116667,54,57.77,54.96283333,E,20,129452,163089,4265,1.75,275,,,,,ü,,"Net redeployed to 50m (lack of communication from deck box to releases)
Close signals sent twice after at 10:23:33UTC and 10:24:24UTC) ",R3,7336.4662,0.136305,0,0,0
R04,routine,14/02/2021,20210214,20:01:59,-64,0.6,-64.01,54,57.69,54.9615,E,200,20210214,20:16:28,-64,0.09,-64.0015,54,56.66,54.94433333,E,20,163089,198764,4463,2,272,,,,,ü,,"Problems with spooling, wire let out to 100m (net closed) and respooled to surface. Wire zeroed at surface then deployed as normal. Weak close signal. ",,,,,,
R05,routine,15/02/2021,20210215,6:56:02,-62,59.8,-62.99666667,54,58.39,54.97316667,E,200,20210215,7:09:45,-62,59.64,-62.994,54,57.42,54.957,E,20,198773,240886,4979,1.75,290,,,,,ü,,"Trouble with deck box, turned off and on. Seemed to give a better response for opening. Still issues with closing. Close Edgetech changed out at end of trawl - tested on deck with better response",R5,9185.68756,0,0,10.8865,0
R06,routine,15/02/2021,20210215,18:01:50,-61,59.36,-61.98933333,54,58.81,54.98016667,E,200,20210215,18:21:30,-61,58.86,-61.981,54,57.78,54.963,E,30,240886,299175,4992,2,314,,,,,ü,,"Good signal from close, open was a little weak but not concerned at this stage. ",R6,12713.99668,0.393267,0,116.6965,1.80903
R07,routine,16/02/2021,20210216,12:31:50,-61,59.56,-61.99266667,60,0.45,60.0075,E,202,20210216,12:46:39,-61,59.16,-61.986,60,0.95,60.01583333,E,28,299198,343248,3641,1.85,28.8,,,,,ü,,,R7,31420.186,0.031827,0,0.254613,0
R08,routine,18/02/2021,20210218,4:55,-63,29.08,-63.48466667,60,2.82,60.047,E,210,20210218,5:11:43,-63,29.32,-63.48866667,60,3.95,60.06583333,E,20,343248,382237,4352,1.8,110,,,,,ü,,,R8,8504.28068,0,0,1.528642,0
R09,routine,18/02/2021,20210218,13:31:17,-63,59.85,-63.9975,60,1.02,60.017,E,201,20210218,13:47:11,-63,59.73,-63.9955,60,2.37,60.0395,E,30,382236,430290,4338,2,74.8,,,,,,,,R9,10481.53848,0,0,0.572435,0
R10,routine,18/02/2021,20210218,22:30:32,-64,29.82,-64.497,60,0.22,60.00366667,E,215,20210218,22:48:09,-64,29.31,-64.4885,60,0.44,60.00733333,E,31,430290,472136,4240,2,354,,,,,ü,,,R10,9127.44952,306.767,0,0,0
